Time Stamp,1-pH_Dev1,2-DO_Dev1,Agitation_Dev1,Air_Dev1,CO2_Dev1,GasFlow_Dev1,N2_Dev1,O2_Dev1,Pump1_Dev1,Pump2_Dev1,Pump3_Dev1,Temperature_Dev1
1/23/2023  7:20:13 pm,6.03,29.68,356.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:21:14 pm,6.02,29.87,356.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:22:13 pm,6.03,30.06,356.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:23:13 pm,6.03,30.30,355.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:24:12 pm,6.03,30.48,354.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:25:13 pm,6.03,30.56,352.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:26:12 pm,6.03,29.81,352.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:27:12 pm,6.02,29.77,352.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:28:13 pm,6.03,29.23,355.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:29:13 pm,6.03,28.82,358.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:30:12 pm,6.02,28.56,363.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:31:13 pm,6.03,28.78,365.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:32:12 pm,6.03,30.00,365.00,100.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:33:12 pm,6.03,30.56,363.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:34:13 pm,6.03,30.72,361.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:35:14 pm,6.03,30.64,359.00,100.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:36:12 pm,6.03,30.36,358.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:37:12 pm,6.03,30.13,358.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:38:12 pm,6.03,29.37,359.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:39:13 pm,6.02,28.91,363.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:40:12 pm,6.03,28.73,367.00,100.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:41:12 pm,6.03,28.90,370.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:42:13 pm,6.02,29.31,372.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:43:13 pm,6.03,30.16,370.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  7:44:12 pm,6.03,30.66,368.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:45:12 pm,6.02,30.82,365.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:46:13 pm,6.03,30.71,363.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:47:12 pm,6.03,30.28,362.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:48:12 pm,6.03,29.44,364.00,100.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:49:13 pm,6.03,28.67,369.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:50:12 pm,6.03,28.82,371.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:51:13 pm,6.03,28.74,376.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:52:13 pm,6.03,29.15,379.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:53:13 pm,6.03,30.42,377.00,100.00,0.00,1.00,0.00,0.00,100.00,0.00,0.00,28.00
1/23/2023  7:54:12 pm,6.02,31.36,372.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:55:13 pm,6.03,30.85,369.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  7:56:13 pm,6.02,30.38,368.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:57:12 pm,6.02,29.40,371.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:58:12 pm,6.02,29.07,374.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  7:59:13 pm,6.03,28.69,378.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  8:00:12 pm,6.02,28.93,381.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:01:13 pm,6.03,29.76,382.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:02:13 pm,6.03,30.40,381.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  8:03:14 pm,6.02,30.85,379.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  8:04:12 pm,6.03,30.77,375.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:05:12 pm,6.03,30.73,373.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:06:13 pm,6.02,30.23,374.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:07:14 pm,6.03,29.24,376.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  8:08:12 pm,6.03,28.83,379.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:09:13 pm,6.02,28.49,384.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:10:14 pm,6.03,28.99,387.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.01
1/23/2023  8:11:12 pm,6.03,29.46,389.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:12:13 pm,6.02,30.33,388.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:13:13 pm,6.03,30.90,384.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:14:12 pm,6.03,30.66,382.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:15:13 pm,6.02,30.44,380.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:16:12 pm,6.03,30.16,380.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:17:12 pm,6.03,28.97,384.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:18:13 pm,6.02,28.81,387.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:19:12 pm,6.03,28.91,391.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:20:12 pm,6.03,29.77,391.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:21:13 pm,6.02,30.00,391.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:22:12 pm,6.03,30.24,390.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:23:12 pm,6.03,30.41,389.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:24:13 pm,6.03,30.39,388.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:25:14 pm,6.03,31.07,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:26:12 pm,6.02,21.41,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:27:13 pm,6.03,9.03,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:28:13 pm,6.02,4.60,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:29:12 pm,6.02,3.56,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.98
1/23/2023  8:30:13 pm,6.03,2.59,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:31:12 pm,6.02,2.62,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:32:12 pm,6.02,2.27,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:33:13 pm,6.03,1.83,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:34:14 pm,6.02,1.54,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00
1/23/2023  8:35:12 pm,6.02,1.19,0.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:36:13 pm,6.03,0.99,0.00,100.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:37:12 pm,6.02,0.58,0.00,100.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,27.99
1/23/2023  8:38:12 pm,6.02,0.60,0.00,100.00,0.00,3.08,0.00,0.00,0.00,0.00,0.00,27.98
1/23/2023  8:39:13 pm,6.02,0.79,0.00,100.00,0.00,3.96,0.00,0.05,0.00,0.00,0.00,27.98
1/23/2023  8:40:13 pm,6.02,1.96,0.00,95.14,0.00,4.00,0.00,4.94,0.00,0.00,0.00,27.98
1/23/2023  8:41:12 pm,6.02,4.57,0.00,90.94,0.00,4.00,0.00,9.14,0.00,0.00,0.00,27.98
1/23/2023  8:42:13 pm,6.02,6.83,0.00,86.97,0.00,3.84,0.00,13.10,0.00,0.00,0.00,27.99
1/23/2023  8:43:14 pm,6.02,10.79,0.00,83.69,0.00,3.98,0.00,16.36,0.00,0.00,0.00,27.99
1/23/2023  8:44:12 pm,6.02,16.04,0.00,81.46,0.00,3.94,0.00,18.58,0.00,0.00,0.00,27.99
1/23/2023  8:45:13 pm,6.02,22.47,0.00,80.31,0.00,3.80,0.00,19.71,0.00,0.00,0.00,27.98
1/23/2023  8:46:13 pm,6.02,29.84,0.00,80.52,0.00,3.98,0.00,19.48,0.00,0.00,0.00,27.99
1/23/2023  8:47:12 pm,6.02,35.10,0.00,81.54,0.00,3.54,0.00,18.45,0.00,0.00,0.00,27.99
1/23/2023  8:48:13 pm,6.02,39.19,0.00,83.23,0.00,3.80,0.00,16.74,0.00,0.00,0.00,27.99
1/23/2023  8:49:13 pm,6.02,41.26,0.00,85.29,0.00,3.80,0.00,14.68,0.00,0.00,0.00,27.98
1/23/2023  8:50:12 pm,6.02,43.45,0.00,87.67,0.00,3.16,0.00,12.29,0.00,0.00,0.00,27.98
1/23/2023  8:51:12 pm,6.03,42.27,0.00,89.73,0.00,3.80,0.00,10.23,0.00,0.00,0.00,27.98
1/23/2023  8:52:13 pm,6.02,39.82,0.00,91.40,0.00,3.98,0.00,8.57,0.00,0.00,0.00,27.99
1/23/2023  8:53:12 pm,6.02,36.30,0.00,92.31,0.00,4.00,0.00,7.67,0.00,0.00,0.00,27.99
1/23/2023  8:54:12 pm,6.02,31.88,0.00,92.51,0.00,4.00,0.00,7.49,0.00,0.00,0.00,27.99
1/23/2023  8:55:13 pm,6.02,27.99,0.00,92.01,0.00,3.74,0.00,7.99,0.00,0.00,0.00,27.99
1/23/2023  8:56:12 pm,6.02,25.45,0.00,91.16,0.00,4.00,0.00,8.86,0.00,0.00,0.00,27.99
1/23/2023  8:57:12 pm,6.03,24.05,0.00,90.03,0.00,3.66,0.00,9.99,0.00,0.00,0.00,27.99
1/23/2023  8:58:13 pm,6.02,23.31,0.00,88.83,0.00,3.62,0.00,11.19,0.00,0.00,0.00,27.99
1/23/2023  8:59:14 pm,6.02,22.71,0.00,87.55,0.00,3.94,0.00,12.47,0.00,0.00,0.00,27.99
1/23/2023  9:00:12 pm,6.03,23.81,0.00,86.54,0.00,4.00,0.00,13.48,0.00,0.00,0.00,28.00
1/23/2023  9:01:13 pm,6.02,25.40,0.00,85.71,0.00,3.94,0.00,14.30,0.00,0.00,0.00,27.99
1/23/2023  9:02:14 pm,6.02,27.78,0.00,85.41,0.00,3.96,0.00,14.59,0.00,0.00,0.00,27.99
1/23/2023  9:03:12 pm,6.03,29.54,0.00,85.31,0.00,3.80,0.00,14.69,0.00,0.00,0.00,27.99
1/23/2023  9:04:12 pm,6.02,31.95,0.00,85.74,0.00,3.78,0.00,14.26,0.00,0.00,0.00,27.99
1/23/2023  9:05:13 pm,6.02,32.68,0.00,86.26,0.00,3.80,0.00,13.73,0.00,0.00,0.00,27.99
1/23/2023  9:06:12 pm,6.03,32.43,0.00,86.65,0.00,3.66,0.00,13.35,0.00,0.00,0.00,28.00
1/23/2023  9:07:13 pm,6.03,32.68,0.00,87.10,0.00,3.86,0.00,12.89,0.00,0.00,0.00,28.00
1/23/2023  9:08:13 pm,6.02,32.51,0.00,87.54,0.00,3.88,0.00,12.45,0.00,0.00,0.00,28.00
1/23/2023  9:09:12 pm,6.03,32.20,0.00,87.89,0.00,4.00,0.00,12.11,0.00,0.00,0.00,27.99
1/23/2023  9:10:13 pm,6.02,31.59,0.00,88.13,0.00,3.80,0.00,11.87,0.00,0.00,0.00,27.99
1/23/2023  9:11:13 pm,6.02,30.11,0.00,88.12,0.00,3.80,0.00,11.88,0.00,0.00,0.00,27.99
1/23/2023  9:12:12 pm,6.03,30.09,0.00,88.13,0.00,4.00,0.00,11.87,0.00,0.00,0.00,27.99
1/23/2023  9:13:13 pm,6.02,29.79,0.00,88.09,0.00,3.80,0.00,11.91,0.00,0.00,0.00,27.99
1/23/2023  9:14:13 pm,6.02,30.47,0.00,88.13,0.00,3.92,0.00,11.87,0.00,0.00,0.00,28.00
1/23/2023  9:15:12 pm,6.03,28.49,0.00,87.84,0.00,4.00,0.00,12.17,0.00,0.00,0.00,28.00
1/23/2023  9:16:13 pm,6.02,27.78,0.00,87.41,0.00,3.78,0.00,12.59,0.00,0.00,0.00,28.00
1/23/2023  9:17:12 pm,6.02,26.83,0.00,86.84,0.00,3.72,0.00,13.17,0.00,0.00,0.00,28.00
1/23/2023  9:18:12 pm,6.03,26.73,0.00,86.26,0.00,4.00,0.00,13.75,0.00,0.00,0.00,27.99
1/23/2023  9:19:13 pm,6.02,27.08,0.00,85.77,0.00,3.94,0.00,14.24,0.00,0.00,0.00,27.99
1/23/2023  9:20:12 pm,6.02,27.76,0.00,85.37,0.00,3.92,0.00,14.63,0.00,0.00,0.00,27.99
1/23/2023  9:21:13 pm,6.03,28.22,0.00,85.06,0.00,3.88,0.00,14.95,0.00,0.00,0.00,27.99
1/23/2023  9:22:14 pm,6.03,29.34,0.00,85.02,0.00,3.92,0.00,14.98,0.00,0.00,0.00,27.99
1/23/2023  9:23:13 pm,6.02,32.70,0.00,85.61,0.00,3.88,0.00,14.38,0.00,0.00,0.00,27.99
1/23/2023  9:24:13 pm,6.02,32.95,0.00,86.12,0.00,3.82,0.00,13.88,0.00,0.00,0.00,27.99
1/23/2023  9:25:12 pm,6.02,31.26,0.00,86.25,0.00,4.00,0.00,13.74,0.00,0.00,0.00,27.99
1/23/2023  9:26:13 pm,6.02,32.04,0.00,86.49,0.00,3.82,0.00,13.51,0.00,0.00,0.00,28.00
1/23/2023  9:27:12 pm,6.03,30.58,0.00,86.50,0.00,4.00,0.00,13.49,0.00,0.00,0.00,27.99
1/23/2023  9:28:12 pm,6.02,29.50,0.00,86.38,0.00,4.00,0.00,13.62,0.00,0.00,0.00,28.00
1/23/2023  9:29:13 pm,6.02,28.90,0.00,86.11,0.00,3.96,0.00,13.89,0.00,0.00,0.00,27.99
1/23/2023  9:30:13 pm,6.02,28.78,0.00,85.89,0.00,3.94,0.00,14.11,0.00,0.00,0.00,27.99
1/23/2023  9:31:12 pm,6.02,28.94,0.00,85.73,0.00,4.00,0.00,14.27,0.00,0.00,0.00,28.00
1/23/2023  9:32:13 pm,6.02,28.75,0.00,85.46,0.00,3.82,0.00,14.54,0.00,0.00,0.00,28.00
1/23/2023  9:33:13 pm,6.02,28.73,0.00,85.26,0.00,3.80,0.00,14.74,0.00,0.00,0.00,28.00
1/23/2023  9:34:14 pm,6.02,27.84,0.00,84.82,0.00,3.92,0.00,15.19,0.00,0.00,0.00,27.99
1/23/2023  9:35:12 pm,6.02,27.90,0.00,84.46,0.00,3.82,0.00,15.54,0.00,0.00,0.00,28.00
1/23/2023  9:36:13 pm,6.03,29.03,0.00,84.36,0.00,3.92,0.00,15.64,0.00,0.00,0.00,28.00
1/23/2023  9:37:13 pm,6.02,30.00,0.00,84.39,0.00,3.98,0.00,15.61,0.00,0.00,0.00,27.99
1/23/2023  9:38:12 pm,6.02,29.98,0.00,84.42,0.00,3.78,0.00,15.58,0.00,0.00,0.00,27.99
1/23/2023  9:39:13 pm,6.02,29.65,0.00,84.34,0.00,3.90,0.00,15.66,0.00,0.00,0.00,28.00
1/23/2023  9:40:14 pm,6.03,29.75,0.00,84.28,0.00,3.98,0.00,15.73,0.00,0.00,0.00,28.00
1/23/2023  9:41:12 pm,6.02,33.65,0.00,84.77,0.00,3.88,0.00,15.22,0.00,0.00,0.00,27.99
1/23/2023  9:42:13 pm,6.03,31.02,0.00,84.86,0.00,3.84,0.00,15.13,0.00,0.00,0.00,28.00
1/23/2023  9:43:13 pm,6.02,29.34,0.00,84.74,0.00,3.80,0.00,15.26,0.00,0.00,0.00,28.00
1/23/2023  9:44:12 pm,6.02,28.16,0.00,84.37,0.00,4.00,0.00,15.64,0.00,0.00,0.00,28.00
1/23/2023  9:45:12 pm,6.03,28.54,0.00,84.14,0.00,4.00,0.00,15.86,0.00,0.00,0.00,27.99
1/23/2023  9:46:13 pm,6.02,28.44,0.00,83.79,0.00,3.80,0.00,16.21,0.00,0.00,0.00,27.99
1/23/2023  9:47:14 pm,6.02,28.82,0.00,83.67,0.00,3.94,0.00,16.33,0.00,0.00,0.00,27.99
1/23/2023  9:48:12 pm,6.02,28.35,0.00,83.38,0.00,3.82,0.00,16.63,0.00,0.00,0.00,28.00
1/23/2023  9:49:13 pm,6.02,29.33,0.00,83.29,0.00,3.96,0.00,16.72,0.00,0.00,0.00,28.00
1/23/2023  9:50:13 pm,6.02,29.45,0.00,83.21,0.00,3.94,0.00,16.79,0.00,0.00,0.00,28.00
1/23/2023  9:51:12 pm,6.02,29.44,0.00,83.05,0.00,3.80,0.00,16.95,0.00,0.00,0.00,28.00
1/23/2023  9:52:13 pm,6.02,29.17,0.00,82.93,0.00,3.94,0.00,17.07,0.00,0.00,0.00,27.99
1/23/2023  9:53:12 pm,6.02,29.24,0.00,82.80,0.00,3.76,0.00,17.20,0.00,0.00,0.00,28.00
1/23/2023  9:54:13 pm,6.02,30.75,0.00,82.91,0.00,3.94,0.00,17.09,0.00,0.00,0.00,28.00
1/23/2023  9:55:13 pm,6.02,31.04,0.00,82.95,0.00,3.98,0.00,17.05,0.00,0.00,0.00,28.00
1/23/2023  9:56:12 pm,6.02,31.15,0.00,83.21,0.00,3.56,0.00,16.79,0.00,0.00,0.00,27.99
1/23/2023  9:57:12 pm,6.02,29.39,0.00,83.06,0.00,3.84,0.00,16.94,0.00,0.00,0.00,28.00
1/23/2023  9:58:13 pm,6.02,29.43,0.00,82.94,0.00,3.88,0.00,17.06,0.00,0.00,0.00,28.00
1/23/2023  9:59:12 pm,6.02,31.58,0.00,83.21,0.00,3.84,0.00,16.78,0.00,0.00,0.00,28.00
1/23/2023  10:00:12 pm,6.02,30.37,0.00,83.21,0.00,3.80,0.00,16.79,0.00,0.00,0.00,27.99
1/23/2023  10:01:13 pm,6.02,31.65,0.00,83.57,0.00,3.82,0.00,16.42,0.00,0.00,0.00,27.99
1/23/2023  10:02:13 pm,6.02,30.51,0.00,83.77,0.00,3.80,0.00,16.23,0.00,0.00,0.00,28.00
1/23/2023  10:03:12 pm,6.02,28.47,0.00,83.45,0.00,3.82,0.00,16.55,0.00,0.00,0.00,27.99
1/23/2023  10:04:12 pm,6.02,27.19,0.00,82.91,0.00,3.80,0.00,17.10,0.00,0.00,0.00,28.00
1/23/2023  10:05:13 pm,6.02,26.80,0.00,82.39,0.00,3.96,0.00,17.62,0.00,0.00,0.00,28.00
1/23/2023  10:06:12 pm,6.02,28.65,0.00,82.15,0.00,3.82,0.00,17.85,0.00,0.00,0.00,28.00
1/23/2023  10:07:13 pm,6.02,27.12,0.00,81.63,0.00,3.96,0.00,18.38,0.00,0.00,0.00,28.00
1/23/2023  10:08:13 pm,6.02,28.52,0.00,81.43,0.00,3.94,0.00,18.57,0.00,0.00,0.00,28.00
1/23/2023  10:09:13 pm,6.02,28.58,0.00,81.15,0.00,3.94,0.00,18.85,0.00,0.00,0.00,28.00
1/23/2023  10:10:12 pm,6.02,30.06,0.00,81.16,0.00,3.74,0.00,18.84,0.00,0.00,0.00,28.00
1/23/2023  10:11:13 pm,6.02,30.38,0.00,81.29,0.00,3.94,0.00,18.71,0.00,0.00,0.00,28.00
1/23/2023  10:12:12 pm,6.02,30.49,0.00,81.42,0.00,3.74,0.00,18.58,0.00,0.00,0.00,28.00
1/23/2023  10:13:13 pm,6.02,30.25,0.00,81.46,0.00,3.86,0.00,18.53,0.00,0.00,0.00,28.00
1/23/2023  10:14:14 pm,6.02,31.13,0.00,81.80,0.00,3.90,0.00,18.19,0.00,0.00,0.00,28.00
1/23/2023  10:15:12 pm,6.02,30.49,0.00,81.85,0.00,3.86,0.00,18.15,0.00,0.00,0.00,28.00
1/23/2023  10:16:13 pm,6.02,29.30,0.00,81.63,0.00,3.96,0.00,18.37,0.00,0.00,0.00,28.00
1/23/2023  10:17:13 pm,6.02,28.98,0.00,81.46,0.00,3.96,0.00,18.55,0.00,0.00,0.00,28.00
1/23/2023  10:18:13 pm,6.02,29.00,0.00,81.34,0.00,3.96,0.00,18.66,0.00,0.00,0.00,28.00
1/23/2023  10:19:12 pm,6.02,29.29,0.00,81.19,0.00,3.80,0.00,18.81,0.00,0.00,0.00,27.99
1/23/2023  10:20:13 pm,6.02,29.89,0.00,81.07,0.00,3.84,0.00,18.93,0.00,0.00,0.00,28.00
1/23/2023  10:21:12 pm,6.02,30.02,0.00,81.30,0.00,3.96,0.00,18.70,0.00,0.00,0.00,28.00
1/23/2023  10:22:13 pm,6.02,30.43,0.00,81.52,0.00,3.94,0.00,18.48,0.00,0.00,0.00,28.00
1/23/2023  10:23:14 pm,6.02,28.18,0.00,81.11,0.00,3.98,0.00,18.90,0.00,0.00,0.00,28.00
1/23/2023  10:24:12 pm,6.02,27.23,0.00,80.66,0.00,3.80,0.00,19.35,0.00,0.00,0.00,28.00
1/23/2023  10:25:13 pm,6.02,28.06,0.00,80.43,0.00,3.94,0.00,19.58,0.00,0.00,0.00,28.00
1/23/2023  10:26:12 pm,6.02,29.73,0.00,80.47,0.00,3.78,0.00,19.53,0.00,0.00,0.00,28.00
